type,question,answer,optionA,optionB,optionC,optionD
单选,第一个明确提出“马克思主义中国化”科学命题的领导人是：,B,邓小平,毛泽东,习近平,胡锦涛
单选,马克思主义中国化第一次历史性飞跃的理论成果是：( ),A,毛泽东思想,邓小平理论,“三个代表”重要思想,科学发展观
单选,下列不属于毛泽东思想成熟时期的著作是,B,《＜共产党人＞发刊词》,《反对本本主义》,《中国革命和中国共产党》,《实践论》
单选,毛泽东思想形成的时代背景是(),A,战争与革命,和平与发展,渗透与反渗透,颠覆与反颠覆
单选,将毛泽东思想确立为党的指导思想的会议是:(    ),C,党的六大,党的六届六中全会,党的七大,党的七届二中全会
单选,(      )是经济工作和其他一切工作的生命线。,D,经济工作,文化工作,外交工作,思想政治工作
单选,中国共产党区别于其他一切政党的根本标志是( ),B,独立自主,全心全意为人民服务,加强党的建设,批评与自我批评
单选,1981年（）提出出毛泽东思想的活的灵魂,B,《矛盾论》,《中国共产党中央委员会关于建国以来党的若干历史问题的决议》,《实践论》,《关于领导方法的若干问题》
单选,新时期正确评价毛泽东和毛泽东思想的党的重要文献是(      ),B,十一届三中全会决议,十一届六中全会决议,十二大报告,十三大报告
单选,“文化大革命”结束后，能否正确评价毛泽东、毛泽东思想的关键在于(    ),B,是否坚持毛泽东思想,是否把毛泽东思想与毛泽东晚年错误区别开来,是否把毛泽东思想与毛泽东个人的思想区别开来,是否用发展的眼光看问题
单选,对实事求是首先做出马克思主义的解释，并把它确立为中国共产党的思想路线的是,A,毛泽东,邓小平,习近平,胡锦涛
单选,毛泽东思想产生不是偶然的，它是现实需要的必然产物 。毛泽东思想形成和发展的实践基础是,A,中国共产党领导人民进行革命和建设的成功实践,西方的和平演变战略,世界无产阶级社会主义革命的新时代,十月革命
单选,近代中国的社会性质是(),C,封建社会,前资本主义社会,半殖民地半封建社会,资本主义社会
单选,近代中国贫困落后和一切灾祸的总根源是(),A,帝国主义,中国民族资产阶级的软弱,封建主义的腐朽,反动势力的联合
单选,近代中国社会最主要的矛盾是(),B,地主阶级和农民阶级的矛盾,帝国主义和中华民族的矛盾,资产阶级和无产阶级的矛盾,封建主义和人民大众的矛盾
单选,标志着旧民主主义革命向新民主主义革命转变的重大事件是(),B,新文化运动的兴起,五四运动,中国共产党的建立,北伐战争
单选,新民主主义革命区别于旧民主主义革命的根本标志是(),B,资产阶级领导,无产阶级领导,农民阶级是主力军,帝国主义是主要敌人
单选,中国无产阶级最可靠的同盟军是(),A,农民阶级,城市小资产阶级,民族资产阶级,开明士绅
单选,中国革命的基本问题是(),B,武装斗争,农民问题,党的建设,领导权问题
单选,毛泽东第一次明确提出：“新民主主义革命”这一命题的著作是(),C,《〈共产党人〉发刊词》,《论政策》,《中国革命和中国共产党》,《新民主主义论》
单选,1939年，毛泽东在《中国革命和中国共产党》中指出：中国是在许多帝国主义国家统治或半统治下，实际上处于长期的不统一状态，再加上土地扩大，其结果是  (  ),C,帝国主义侵略势力日益成为统治中国的决定性力量,封建经济在社会经济生活中占着显然的优势,经济、政治和文化的发展表现出极端的不平衡,人民的贫困和不自由的程度是世界所少见的
单选,土地革命战争时期、毛泽东指出：“一国之内，在四周白色政权的包围中，有一小块或若干小块红色政权的区域长期地存在，这是世界各国从来没有的事。这种奇事的发生，有其独特的原因。”红色政权能够存在和发展的根本原因是   ( ),A,中国是一个经济政治发展极端不平衡的半殖民地半封建大国,国民革命的政治影响及良好的群众基础,全国革命形势的继续发展,相当力量的正式红军的存在以及共产党组织的坚强有力和正确领导
单选,中国民主主义革命经历了旧民主主义革命和新民主主义革命两个阶段，“旧”阶段转化到“新”阶段的根本标志是( ),A,中国革命领导阶级的变化,中国革命主要对象的变化,中国革命基本性质的变化,中国社会主要矛盾的变化
单选,土地改革是中国新民主主义革命的主要内容。土地改革的直接目标是( ),A,反对封建主义,反对帝国主义,发展农业生产,建立社会主义
单选,毛泽东在总结我党对待资产阶级问题上正反两方面的历史经验后指出：中国共产党政治路线的重要部分，就是坚持统一战线的策略原则。这个策略原则是( ),D,原则的坚定性和策略的灵活性,有理、有利、有节,发展进步势力，争取中间势力，孤立顽固势力,又联合又斗争
